Year,Month,D/M FIN,D/M IND,D/M NS,Raise FIN,Raise IND,Raise NS,Easter
2021,7,22,21,22,0.00%,0.00%,0.00%,0
2021,8,22,19,22,0.00%,0.00%,0.00%,0
2021,9,22,22,22,0.00%,0.00%,0.00%,0
2021,10,21,18,21,0.00%,0.00%,0.00%,0
2021,11,22,20,20,0.00%,0.00%,0.00%,0
2021,12,21,22,23,0.00%,0.00%,0.00%,0
2022,1,20,20,20,-3.40%,0.00%,0.00%,0
2022,2,20,20,20,0.00%,0.00%,0.00%,0
2022,3,23,22,23,0.00%,0.00%,0.00%,0
2022,4,19,18,20,0.00%,0.00%,0.00%,1
2022,5,21,20,21,0.00%,0.00%,0.00%,0
2022,6,21,22,21,0.00%,0.00%,0.00%,0
2022,7,21,19,21,0.00%,0.00%,0.00%,0
2022,8,23,21,22,0.00%,0.00%,0.00%,0
2022,9,22,22,22,0.00%,0.00%,0.00%,0
2022,10,21,17,21,0.00%,0.00%,0.00%,0
2022,11,22,21,20,0.00%,0.00%,0.00%,0
2022,12,20,21,21,0.00%,0.00%,0.00%,0
2023,1,21,21,21,1.50%,8.00%,6.00%,0
2023,2,20,20,20,0.00%,0.00%,0.00%,0
2023,3,23,21,23,0.00%,0.00%,0.00%,0
2023,4,18,17,19,0.00%,0.00%,0.00%,1
2023,5,21,22,21,0.00%,0.00%,0.00%,0
2023,6,21,21,21,0.00%,0.00%,0.00%,0
2023,7,21,20,21,2.10%,0.00%,0.00%,0
2023,8,23,22,22,0.00%,0.00%,0.00%,0
2023,9,21,19,21,0.00%,0.00%,0.00%,0
2023,10,22,20,22,0.00%,0.00%,0.00%,0
2023,11,22,20,21,0.00%,0.00%,0.00%,0
2023,12,18,20,19,0.00%,0.00%,0.00%,0
2024,1,22,22,21,1.80%,3.00%,3.00%,0
2024,2,21,21,21,0.00%,0.00%,0.00%,0
2024,3,20,18,21,0.00%,0.00%,0.00%,1
2024,4,21,20,21,0.00%,0.00%,0.00%,0
2024,5,21,22,20,0.00%,0.00%,0.00%,0
2024,6,19,19,20,0.00%,0.00%,0.00%,0
2024,7,23,22,23,0.00%,0.00%,0.00%,0
2024,8,22,20,21,0.00%,0.00%,0.00%,0
2024,9,21,20,21,0.00%,0.00%,0.00%,0
2024,10,23,21,23,0.00%,0.00%,0.00%,0
2024,11,21,19,19,0.00%,0.00%,0.00%,0
2024,12,18,21,20,0.00%,0.00%,0.00%,0
2025,1,21,22,21,0.00%,0.00%,0.00%,0
2025,2,20,19,20,0.00%,0.00%,0.00%,0
2025,3,21,19,21,0.00%,0.00%,0.00%,0
2025,4,20,20,21,0.00%,0.00%,0.00%,0
2025,5,20,21,21,0.00%,0.00%,0.00%,0
2025,6,20,20,20,0.00%,0.00%,0.00%,0
2025,7,23,22,23,0.00%,0.00%,0.00%,0
2025,8,21,19,20,0.00%,0.00%,0.00%,0
2025,9,22,21,22,0.00%,0.00%,0.00%,0
2025,10,23,20,23,0.00%,0.00%,0.00%,0
2025,11,20,19,19,0.00%,0.00%,0.00%,0
2025,12,20,22,21,0.00%,0.00%,0.00%,0
2026,1,20,20,19,0.00%,0.00%,0.00%,0
2026,2,20,20,19,0.00%,0.00%,0.00%,0
2026,3,22,22,22,0.00%,0.00%,0.00%,0
2026,4,20,20,20,0.00%,0.00%,0.00%,0
2026,5,19,19,21,0.00%,0.00%,0.00%,0
2026,6,21,21,22,0.00%,0.00%,0.00%,0
2026,7,23,23,23,0.00%,0.00%,0.00%,0
2026,8,21,21,21,0.00%,0.00%,0.00%,0
2026,9,22,22,22,0.00%,0.00%,0.00%,0
2026,10,22,22,21,0.00%,0.00%,0.00%,0
2026,11,21,21,21,0.00%,0.00%,0.00%,0
2026,12,21,21,21,0.00%,0.00%,0.00%,0
