,Year,Month,D/M FIN,D/M IND,D/M NS,Raise FIN,Raise IND,Raise NS,Easter,Revenue FIN,Revenue IND,Revenue NS,Revenue
3,2021,10,21,18,21,0.00%,0.00%,0.00%,0,2545037.130599,746260.744905,139686.33291599998,3430984.20842
4,2021,11,22,20,20,0.00%,0.00%,0.00%,0,2839525.587553,746482.547421,136286.25582,3722294.390794
5,2021,12,21,22,23,0.00%,0.00%,0.00%,0,2113049.839606,800971.594098,131170.751205,3045192.184909
6,2022,1,20,20,20,-3.40%,0.00%,0.00%,0,2217880.59129,717152.408388,116870.61282,3051903.612498
7,2022,2,20,20,20,0.00%,0.00%,0.00%,0,2324460.391341,804921.824577,126764.76110999999,3256146.9770279997
8,2022,3,23,22,23,0.00%,0.00%,0.00%,0,2658184.367434,962770.620006,155846.700555,3776801.6879950003
9,2022,4,19,18,20,0.00%,0.00%,0.00%,1,2149729.288869,865059.071019,144034.010835,3158822.370723
10,2022,5,21,20,21,0.00%,0.00%,0.00%,0,2632984.764309,914737.0276200001,155452.608675,3703174.400604
11,2022,6,21,22,21,0.00%,0.00%,0.00%,0,2385276.737881,928840.017534,148413.6225,3462530.377915
12,2022,7,21,19,21,0.00%,0.00%,0.00%,0,882168.185963,913663.844964,135356.998725,1931189.0296520002
13,2022,8,23,21,22,0.00%,0.00%,0.00%,0,2465130.835448,952198.480818,134021.765475,3551351.081741
14,2022,9,22,22,22,0.00%,0.00%,0.00%,0,2682730.242233,972187.486491,145815.440355,3800733.169079
15,2022,10,21,17,21,0.00%,0.00%,0.00%,0,2556002.327027,801169.012878,143834.597361,3501005.937266
16,2022,11,22,21,20,0.00%,0.00%,0.00%,0,2874506.275255,944972.450136,143352.571167,3962831.2965580006
17,2022,12,20,21,21,0.00%,0.00%,0.00%,0,2171155.835083,934597.785654,144542.135829,3250295.7565659997
18,2023,1,21,21,21,1.50%,8.00%,6.00%,0,2660973.760575,1085627.728965,159657.740541,3906259.2300810004
19,2023,2,20,20,20,0.00%,0.00%,0.00%,0,2533704.407129,1083791.314866,148584.765381,3766080.487376
20,2023,3,23,21,23,0.00%,0.00%,0.00%,0,2936641.086563,1315838.178447,181460.696703,4433939.961713
21,2023,4,18,17,19,0.00%,0.00%,0.00%,1,2241929.479686,1189316.322597,152898.272514,3584144.0747970003
22,2023,5,21,22,21,0.00%,0.00%,0.00%,0,2712861.362755,1277597.191377,168443.910882,4158902.465014
23,2023,6,21,21,21,0.00%,0.00%,0.00%,0,2334497.393282,1290265.409082,168537.307302,3793300.109666
24,2023,7,21,20,21,2.10%,0.00%,0.00%,0,969041.33208,1304106.469575,135848.373882,2408996.175537
25,2023,8,23,22,22,0.00%,0.00%,0.00%,0,2614786.993839,1342996.15164,165960.759198,4123743.9046770004
26,2023,9,21,19,21,0.00%,0.00%,0.00%,0,2761336.434987,1294418.949213,157757.412345,4213512.796545
27,2023,10,22,20,22,0.00%,0.00%,0.00%,0,2846002.489479,1306437.903342,174448.38723,4326888.780051
28,2023,11,22,20,21,0.00%,0.00%,0.00%,0,2844173.877051,1337603.505732,177519.582162,4359296.964945001
29,2023,12,18,20,19,0.00%,0.00%,0.00%,0,2026935.721161,1271976.078438,147778.750548,3446690.5501470002
30,2024,1,22,22,21,1.80%,3.00%,3.00%,0,2836991.552538,1525439.729151,172285.039056,4534716.320745001
31,2024,2,21,21,21,0.00%,0.00%,0.00%,0,2763300.621354,1507439.312223,181614.605055,4452354.538632
32,2024,3,20,18,21,0.00%,0.00%,0.00%,1,2543519.774328,1521135.347277,179272.256397,4243927.378002
33,2024,4,21,20,21,0.00%,0.00%,0.00%,0,2759374.010289,1570568.45985,163718.42487,4493660.895009
34,2024,5,21,22,20,0.00%,0.00%,0.00%,0,2942603.9260050002,1621270.207128,146524.516788,4710398.649921
35,2024,6,19,19,20,0.00%,0.00%,0.00%,0,2405227.070724,1421141.998848,145615.197312,3971984.2668840005
36,2024,7,23,22,23,0.00%,0.00%,0.00%,0,1222198.862508,1675304.407647,176226.302733,3073729.572888
37,2024,8,22,20,21,0.00%,0.00%,0.00%,0,2661204.203654,1526411.424759,163638.105813,4351253.7342260005
38,2024,9,21,20,21,0.00%,0.00%,0.00%,0,2886190.158072,1531049.451828,170210.631864,4587450.241764
39,2024,10,23,21,23,0.00%,0.00%,0.00%,0,538483.285938,230280.543402,32086.964598,800850.793938
40,2024,11,21,19,19,0.00%,0.00%,0.00%,0,,,,
41,2024,12,18,21,20,0.00%,0.00%,0.00%,0,,,,
42,2025,1,21,22,21,0.00%,0.00%,0.00%,0,,,,
43,2025,2,20,19,20,0.00%,0.00%,0.00%,0,,,,
44,2025,3,21,19,21,0.00%,0.00%,0.00%,0,,,,
45,2025,4,20,20,21,0.00%,0.00%,0.00%,0,,,,
46,2025,5,20,21,21,0.00%,0.00%,0.00%,0,,,,
47,2025,6,20,20,20,0.00%,0.00%,0.00%,0,,,,
48,2025,7,23,22,23,0.00%,0.00%,0.00%,0,,,,
49,2025,8,21,19,20,0.00%,0.00%,0.00%,0,,,,
50,2025,9,22,21,22,0.00%,0.00%,0.00%,0,,,,
51,2025,10,23,20,23,0.00%,0.00%,0.00%,0,,,,
52,2025,11,20,19,19,0.00%,0.00%,0.00%,0,,,,
53,2025,12,20,22,21,0.00%,0.00%,0.00%,0,,,,
